PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,227,222,97.80%,27,27,556,541,,2597,2369,91.22%,228,228,9442,9189
Airlie Run,111,105,94.59%,21,21,302,293,,2597,2369,91.22%,228,228,9442,9189
Bowen,129,124,96.12%,20,20,433,399,,2597,2369,91.22%,228,228,9442,9189
Cannonvale,168,164,97.62%,16,16,466,447,,2597,2369,91.22%,228,228,9442,9189
Hamilton Island,756,593,78.44%,30,30,3073,2994,,2597,2369,91.22%,228,228,9442,9189
Hamilton Island Warehouse,19,14,73.68%,1,1,791,770,,2597,2369,91.22%,228,228,9442,9189
Hayman Diner,1,1,100.00%,1,1,2,1,,2597,2369,91.22%,228,228,9442,9189
Hayman Retail,10,8,80.00%,1,1,8,8,,2597,2369,91.22%,228,228,9442,9189
Mackay,301,290,96.35%,27,27,815,811,,2597,2369,91.22%,228,228,9442,9189
North Mackay,117,115,98.29%,10,10,225,223,,2597,2369,91.22%,228,228,9442,9189
Pallet,242,235,97.11%,19,19,1186,1160,,2597,2369,91.22%,228,228,9442,9189
Pallet Run 1,49,48,97.96%,3,3,204,192,,2597,2369,91.22%,228,228,9442,9189
Pallet Run 2,184,183,99.46%,8,8,646,645,,2597,2369,91.22%,228,228,9442,9189
Pallet Run 3,83,79,95.18%,6,6,309,292,,2597,2369,91.22%,228,228,9442,9189
pick Up Window 1,50,44,88.00%,7,7,116,105,,2597,2369,91.22%,228,228,9442,9189
Pick Up Window 2,37,32,86.49%,15,15,70,70,,2597,2369,91.22%,228,228,9442,9189
Proserpine Run,113,112,99.12%,16,16,241,239,,2597,2369,91.22%,228,228,9442,9189
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,633,606,95.73%,154,154,2913,2825,,2597,2369,91.22%,523,523,9442,9189
Dry,1074,1043,97.11%,167,167,3471,3395,,2597,2369,91.22%,523,523,9442,9189
Freezer,620,608,98.06%,147,147,2830,2758,,2597,2369,91.22%,523,523,9442,9189
Shed,117,112,95.73%,54,54,228,211,,2597,2369,91.22%,523,523,9442,9189
,152,0,0.00%,40,0,0,0,,2597,2369,91.22%,523,523,9442,9189
WH,1,0,0.00%,1,1,1,0,,2597,2369,91.22%,523,523,9442,9189
