PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,73,69,94.52%,15,15,338,313,,3274,2922,89.25%,185,185,16191,15596
Airlie Run,85,82,96.47%,12,12,169,152,,3274,2922,89.25%,185,185,16191,15596
Cannonvale,32,32,100.00%,6,6,109,111,,3274,2922,89.25%,185,185,16191,15596
Collinsville,188,184,97.87%,15,15,628,612,,3274,2922,89.25%,185,185,16191,15596
Daydream,374,343,91.71%,8,8,2471,2228,,3274,2922,89.25%,185,185,16191,15596
Dingo Run,42,42,100.00%,4,4,127,126,,3274,2922,89.25%,185,185,16191,15596
Hamilton Island,863,712,82.50%,33,33,3608,3509,,3274,2922,89.25%,185,185,16191,15596
Hamilton Island Warehouse,20,15,75.00%,1,1,1539,1509,,3274,2922,89.25%,185,185,16191,15596
Hayman Comms,803,681,84.81%,28,28,3886,3746,,3274,2922,89.25%,185,185,16191,15596
Hayman Diner,17,13,76.47%,2,2,87,87,,3274,2922,89.25%,185,185,16191,15596
Hayman Retail,56,54,96.43%,1,1,563,563,,3274,2922,89.25%,185,185,16191,15596
Hayman Stores,52,43,82.69%,4,4,303,300,,3274,2922,89.25%,185,185,16191,15596
Mackay,258,253,98.06%,20,20,730,721,,3274,2922,89.25%,185,185,16191,15596
Pallet Run 1,105,104,99.05%,8,8,510,522,,3274,2922,89.25%,185,185,16191,15596
Pallet Run 2,82,81,98.78%,6,6,200,199,,3274,2922,89.25%,185,185,16191,15596
pick Up Window 1,48,46,95.83%,5,5,142,150,,3274,2922,89.25%,185,185,16191,15596
Pick Up Window 2,18,15,83.33%,12,12,122,119,,3274,2922,89.25%,185,185,16191,15596
Proserpine Run,152,147,96.71%,4,4,639,611,,3274,2922,89.25%,185,185,16191,15596
Shute,6,6,100.00%,1,1,20,20,,3274,2922,89.25%,185,185,16191,15596
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,601,577,96.01%,101,101,4478,4456,,3274,2922,89.25%,382,382,16191,15596
Dry,1699,1620,95.35%,131,131,7296,6868,,3274,2922,89.25%,382,382,16191,15596
Freezer,667,642,96.25%,115,115,4142,4022,,3274,2922,89.25%,382,382,16191,15596
Shed,88,83,94.32%,35,35,275,250,,3274,2922,89.25%,382,382,16191,15596
,219,0,0.00%,68,0,0,0,,3274,2922,89.25%,382,382,16191,15596
