user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,9:44 AM,207,2:27 PM,240.9,176.1,39.4,28.8,3.45,136,831,12,1555,1867,870.1,334.7,223,25.91,1103,5123,100
davidm,10:04 PM,212,3:17 AM,108.1,73.1,50.1,33.9,3.53,177,382,16,1555,1867,870.1,334.7,223,25.91,1103,5123,100
gregory,10:07 PM,257,3:08 AM,85.7,73,36.9,31.4,4.28,158,367,14,1555,1867,870.1,334.7,223,25.91,1103,5123,100
justin,6:31 PM,275,1:32 AM,107.3,70.1,39.1,25.5,4.58,179,492,16,1555,1867,870.1,334.7,223,25.91,1103,5123,100
kane,7:03 AM,83,2:35 PM,795.2,145.9,29.6,5.4,1.38,41,1100,4,1555,1867,870.1,334.7,223,25.91,1103,5123,100
levi,10:03 PM,28,10:31 PM,62.1,61.4,42.9,42.4,0.47,20,29,2,1555,1867,870.1,334.7,223,25.91,1103,5123,100
steve,8:21 PM,217,2:52 AM,233.4,129.5,53.4,29.6,3.62,193,844,18,1555,1867,870.1,334.7,223,25.91,1103,5123,100
Troy,8:11 AM,276,3:50 PM,234.3,141,43.3,26,4.6,199,1078,18,1555,1867,870.1,334.7,223,25.91,1103,5123,100
