PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,178,176,98.88%,15,15,521,520,,226,221,97.79%,19,19,666,649
Pallet Run 3,47,45,95.74%,3,3,145,129,,226,221,97.79%,19,19,666,649
pick Up Window 1,1,0,0.00%,1,1,0,0,,226,221,97.79%,19,19,666,649
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,63,63,100.00%,13,13,306,294,,226,221,97.79%,43,43,666,649
Dry,83,81,97.59%,13,13,180,178,,226,221,97.79%,43,43,666,649
Freezer,70,68,97.14%,11,11,167,164,,226,221,97.79%,43,43,666,649
Shed,9,9,100.00%,6,6,13,13,,226,221,97.79%,43,43,666,649
,1,0,0.00%,1,0,,,,226,221,97.79%,43,43,666,649
