user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:08 AM,82,2:30 PM,226.1,48.5,49.8,10.7,1.37,68,309,21,536,1156.9,691.4,229.6,129.8,8.94,330,1637,100
jessek,6:53 AM,13,7:06 AM,415.4,418.1,55.4,55.7,0.22,12,90,4,536,1156.9,691.4,229.6,129.8,8.94,330,1637,100
kane,7:04 AM,84,10:00 AM,162.9,77.7,47.1,22.5,1.40,66,228,20,536,1156.9,691.4,229.6,129.8,8.94,330,1637,100
lachlyn,8:50 AM,154,3:44 PM,157.8,58.7,28.1,10.4,2.57,72,405,22,536,1156.9,691.4,229.6,129.8,8.94,330,1637,100
richie,6:53 AM,12,7:05 AM,5.0,5.2,15.0,15.5,0.20,3,1,1,536,1156.9,691.4,229.6,129.8,8.94,330,1637,100
Troy,8:10 AM,191,3:25 PM,189.7,83.2,34.2,15.0,3.18,109,604,33,536,1156.9,691.4,229.6,129.8,8.94,330,1637,100

