user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:11 PM,230,5:48 AM,159.9,80.4,68.3,34.4,3.83,262,613,16,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
damir,8:07 AM,172,11:23 AM,340.1,298.0,36.3,31.8,2.87,104,975,6,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
davidm,10:22 PM,234,4:40 AM,141.0,87.2,41.3,25.5,3.90,161,550,10,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
gregory,10:09 PM,349,4:19 AM,89.9,84.9,38.5,36.4,5.82,224,523,14,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
justin,6:17 PM,307,1:35 AM,141.9,99.6,46.1,32.4,5.12,236,726,15,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
levi,10:05 PM,239,2:19 AM,52.2,49.0,12.8,12.0,3.98,51,208,3,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
spiro,12:14 AM,283,6:00 AM,180.4,147.5,39.2,32.1,4.72,185,851,11,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
steve,8:13 PM,273,3:15 AM,235.6,152.2,54.1,34.9,4.55,246,1072,15,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100
tim,10:12 PM,258,3:23 AM,133.5,110.6,32.8,27.2,4.30,141,574,9,2345,1474.5,1109.4,369.4,266.7,39.09,1610,6092,100

