user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
davidm,10:13 PM,240,5:23 AM,155.8,87,47.3,26.4,4,189,623,14,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
gregory,10:32 PM,389,5:15 AM,121.1,116.9,44.6,43,6.48,289,785,21,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
justin,6:38 PM,317,1:45 AM,89,66,36.2,26.8,5.28,191,470,14,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
levi,10:08 PM,219,3:36 AM,130.7,87.4,46.8,31.3,3.65,171,477,12,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
spiro,1:24 AM,104,3:23 AM,151.2,132.4,30.6,26.8,1.73,53,262,4,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
steve,8:11 PM,287,3:39 AM,155.7,99.7,53.5,34.2,4.78,256,745,19,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
tim,10:34 PM,290,5:45 AM,160.1,107.7,46.3,31.2,4.83,224,774,16,1846,963.6,697.1,305.3,219.7,30.75,1373,4136,100
