user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
davidm,2:08 AM,171,6:08 AM,183.9,131.2,38.9,27.8,2.85,111,524,35,447,625.6,359.3,132.8,76.5,7.45,316,1473,100
jackr,1:32 AM,0,1:32 AM,0.0,0.0,0.0,0.0,0.00,1,0,0,447,625.6,359.3,132.8,76.5,7.45,316,1473,100
justin,12:20 AM,194,5:30 AM,184.9,115.9,40.5,25.4,3.23,131,598,41,447,625.6,359.3,132.8,76.5,7.45,316,1473,100
levi,2:05 AM,82,5:13 AM,256.8,112.2,53.4,23.3,1.37,73,351,23,447,625.6,359.3,132.8,76.5,7.45,316,1473,100

