user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:17 AM,133,12:50 PM,291.9,142.2,38.8,18.9,2.22,86,647,4,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
davidm,8:21 PM,385,5:48 AM,163.2,110.9,57.8,39.3,6.42,371,1047,18,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
gregory,10:09 PM,405,5:50 AM,129.2,113.4,34.4,30.2,6.75,232,872,11,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
jackr,4:50 PM,30,5:29 PM,290.0,222.8,62.0,47.6,0.50,31,145,2,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
justin,6:26 PM,348,1:49 AM,131.0,102.9,39.1,30.7,5.80,227,760,11,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
kane,7:00 AM,83,12:20 PM,292.8,76.0,43.4,11.3,1.38,60,405,3,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
levi,8:14 PM,368,5:43 AM,132.9,86.0,42.4,27.4,6.13,260,815,13,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
richie,4:42 AM,102,6:41 AM,210.6,180.7,71.2,61.1,1.70,121,358,6,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
spiro,12:07 AM,240,4:28 AM,180.0,165.1,41.0,37.6,4.00,164,720,8,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
steve,8:08 PM,330,3:47 AM,226.0,162.3,48.2,34.6,5.50,265,1243,13,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
tim,10:26 PM,278,5:49 AM,77.9,48.9,30.0,18.8,4.63,139,361,7,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100
Troy,8:17 AM,179,3:35 PM,92.8,38.0,36.5,14.9,2.98,109,277,5,2881,2218.3,1449.2,544.8,372.4,48.01,2065,7650,100

