user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:09 PM,254,5:54 AM,227,123.8,82.9,45.2,4.23,351,961,29,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100
gregory,9:42 PM,367,4:59 AM,139.1,116.8,47.1,39.5,6.12,288,851,24,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100
jessek,4:27 AM,99,6:35 AM,189.7,147,57,44.1,1.65,94,313,8,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100
lachlyn,5:24 AM,79,6:43 AM,98,98.5,53.2,53.4,1.32,70,129,6,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100
levi,8:05 PM,415,5:45 AM,203.7,145.5,58,41.4,6.92,401,1409,33,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100
mick,6:02 AM,5,6:07 AM,960,1028.6,120,128.6,0.08,10,80,1,1219,1817.5,1660.2,418.2,352.2,20.32,1214,3743,100
