PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,110,108,98.18%,15,15,384,369,,2872,2594,90.32%,168,168,13501,13530
Airlie Run,73,68,93.15%,17,17,164,149,,2872,2594,90.32%,168,168,13501,13530
Bowen,73,72,98.63%,12,12,343,347,,2872,2594,90.32%,168,168,13501,13530
Cannonvale,73,73,100.00%,9,9,153,154,,2872,2594,90.32%,168,168,13501,13530
Daydream,8,4,50.00%,4,4,50,48,,2872,2594,90.32%,168,168,13501,13530
Hamilton Island,884,733,82.92%,35,35,3674,3570,,2872,2594,90.32%,168,168,13501,13530
Hayman Comms,523,456,87.19%,19,19,2116,2094,,2872,2594,90.32%,168,168,13501,13530
Hayman Diner,531,505,95.10%,3,3,4765,4932,,2872,2594,90.32%,168,168,13501,13530
Hayman Retail,37,34,91.89%,1,1,177,176,,2872,2594,90.32%,168,168,13501,13530
Hayman Stores,9,4,44.44%,2,2,27,24,,2872,2594,90.32%,168,168,13501,13530
Mackay,298,293,98.32%,26,26,777,789,,2872,2594,90.32%,168,168,13501,13530
Pallet Run 1,95,92,96.84%,7,7,425,434,,2872,2594,90.32%,168,168,13501,13530
Pallet Run 2,18,17,94.44%,1,1,52,49,,2872,2594,90.32%,168,168,13501,13530
pick Up Window 1,32,30,93.75%,2,2,78,79,,2872,2594,90.32%,168,168,13501,13530
Pick Up Window 2,6,6,100.00%,5,5,101,101,,2872,2594,90.32%,168,168,13501,13530
Proserpine Run,102,99,97.06%,10,10,215,215,,2872,2594,90.32%,168,168,13501,13530
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,603,583,96.68%,98,98,4607,4792,,2872,2594,90.32%,361,361,13501,13530
Dry,1349,1294,95.92%,122,122,4889,4730,,2872,2594,90.32%,361,361,13501,13530
Freezer,667,643,96.40%,109,109,3809,3827,,2872,2594,90.32%,361,361,13501,13530
Shed,77,74,96.10%,32,32,196,182,,2872,2594,90.32%,361,361,13501,13530
,176,0,0.00%,51,0,0,0,,2872,2594,90.32%,361,361,13501,13530
