PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,39,39,100.00%,11,11,179,204,,2156,2052,95.18%,154,154,9848,9560
Airlie Run,205,202,98.54%,19,19,466,461,,2156,2052,95.18%,154,154,9848,9560
Bowen,125,121,96.80%,16,16,450,439,,2156,2052,95.18%,154,154,9848,9560
Cannonvale,126,126,100.00%,13,13,243,243,,2156,2052,95.18%,154,154,9848,9560
Hamilton Island,81,73,90.12%,6,6,379,362,,2156,2052,95.18%,154,154,9848,9560
Hamilton Island Warehouse,30,25,83.33%,1,1,2022,2012,,2156,2052,95.18%,154,154,9848,9560
Hayman Comms,394,341,86.55%,10,10,1831,1595,,2156,2052,95.18%,154,154,9848,9560
Hayman Retail,102,92,90.20%,3,3,765,763,,2156,2052,95.18%,154,154,9848,9560
Hayman Stores,26,22,84.62%,2,2,238,237,,2156,2052,95.18%,154,154,9848,9560
Mackay,390,385,98.72%,28,28,1124,1109,,2156,2052,95.18%,154,154,9848,9560
Pallet,18,17,94.44%,1,1,45,44,,2156,2052,95.18%,154,154,9848,9560
Pallet Run 1,257,255,99.22%,13,13,986,983,,2156,2052,95.18%,154,154,9848,9560
Pallet Run 2,153,151,98.69%,11,11,673,660,,2156,2052,95.18%,154,154,9848,9560
Pallet Run 3,110,109,99.09%,3,3,294,296,,2156,2052,95.18%,154,154,9848,9560
pick Up Window 1,25,23,92.00%,2,2,32,33,,2156,2052,95.18%,154,154,9848,9560
Pick Up Window 2,21,18,85.71%,6,6,27,26,,2156,2052,95.18%,154,154,9848,9560
Proserpine Run,54,53,98.15%,9,9,95,93,,2156,2052,95.18%,154,154,9848,9560
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,548,530,96.72%,104,104,2971,2913,,2156,2052,95.18%,370,370,9848,9560
Dry,982,953,97.05%,119,119,3593,3367,,2156,2052,95.18%,370,370,9848,9560
Freezer,477,468,98.11%,105,105,2995,3000,,2156,2052,95.18%,370,370,9848,9560
Shed,102,101,99.02%,42,42,289,279,,2156,2052,95.18%,370,370,9848,9560
,47,0,0.00%,21,0,0,0,,2156,2052,95.18%,370,370,9848,9560
