PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,169,163,96.45%,19,19,662,617,,2933,2686,91.58%,174,174,14032,13290
Airlie Run,140,135,96.43%,23,23,578,535,,2933,2686,91.58%,174,174,14032,13290
Bowen,157,153,97.45%,17,17,501,485,,2933,2686,91.58%,174,174,14032,13290
Cannonvale,69,68,98.55%,11,11,132,137,,2933,2686,91.58%,174,174,14032,13290
Daydream,4,1,25.00%,1,1,30,27,,2933,2686,91.58%,174,174,14032,13290
Hamilton Island,33,20,60.61%,5,5,187,161,,2933,2686,91.58%,174,174,14032,13290
Hayman Comms,761,674,88.57%,19,19,3738,3217,,2933,2686,91.58%,174,174,14032,13290
Hayman Diner,396,354,89.39%,4,4,3362,3376,,2933,2686,91.58%,174,174,14032,13290
Hayman Grove,19,17,89.47%,1,1,52,52,,2933,2686,91.58%,174,174,14032,13290
Hayman Island,468,424,90.60%,1,1,2542,2461,,2933,2686,91.58%,174,174,14032,13290
Hayman Retail,65,53,81.54%,2,2,288,278,,2933,2686,91.58%,174,174,14032,13290
Hayman Stores,18,7,38.89%,5,5,132,130,,2933,2686,91.58%,174,174,14032,13290
Mackay,343,337,98.25%,32,32,899,891,,2933,2686,91.58%,174,174,14032,13290
Pallet Run 1,100,99,99.00%,6,6,361,365,,2933,2686,91.58%,174,174,14032,13290
Pallet Run 2,80,75,93.75%,9,9,201,188,,2933,2686,91.58%,174,174,14032,13290
pick Up Window 1,6,5,83.33%,4,4,20,20,,2933,2686,91.58%,174,174,14032,13290
Pick Up Window 2,9,7,77.78%,5,5,86,86,,2933,2686,91.58%,174,174,14032,13290
Proserpine Run,96,94,97.92%,10,10,261,264,,2933,2686,91.58%,174,174,14032,13290
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,624,589,94.39%,103,103,5694,5540,,2933,2686,91.58%,362,362,14032,13290
Dry,1508,1402,92.97%,120,120,5026,4476,,2933,2686,91.58%,362,362,14032,13290
Freezer,663,639,96.38%,102,102,3161,3135,,2933,2686,91.58%,362,362,14032,13290
Shed,61,56,91.80%,37,37,151,139,,2933,2686,91.58%,362,362,14032,13290
,77,0,0.00%,36,0,0,0,,2933,2686,91.58%,362,362,14032,13290
