user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:06 AM,380,5:33 PM,251.5,168.4,57.8,38.7,6.33,366,1593,30,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
jackr,6:55 AM,79,5:53 PM,268.9,32.3,66.8,8,1.32,88,354,7,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
kane,6:57 AM,235,2:03 PM,248.9,137.2,67.9,37.4,3.92,266,975,22,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
lachlyn,8:22 AM,347,5:57 PM,180.3,108.8,52,31.4,5.78,301,1043,24,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
richie,9:32 AM,21857,1:49 PM,0,0,0,0,364.28,8,1,1,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
sam,6:30 AM,162,10:03 AM,140.4,106.8,51.5,39.2,2.7,139,379,11,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
sara,8:30 AM,171,11:21 AM,17.9,17.9,3.5,3.5,2.85,10,51,1,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
simonb,7:18 AM,36,7:54 AM,303.3,302.6,35,34.9,0.6,21,182,2,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
spiro,8:48 AM,33,9:25 AM,92.7,81.6,56.4,49.6,0.55,31,51,3,23300,1503.9,955.6,390.9,242.7,388.33,1230,4629,100
