Pickface,Stock Code,Picker,Warehouse Qty,Pickface Qty,Ordered:,Picked:,Difference
3.02.1.10,11460012,spiro,0.0,0.0,2.0,1.0,1.0
5.14.3.30,11121104,spiro,166.69,41.59,3.0,2.18,0.8199999999999998
8.34.4.20,11110241,damir,2.0,2.0,2.0,0.0,2.0
A.01.1.40,11460658,damir,53.0,53.0,12.0,0.0,12.0
COI,11430329,damir,-15.66,-15.66,30.0,27.12,2.879999999999999
COI,11430509,damir,0.1,0.1,15.0,10.38,4.619999999999999
COI,11430138,damir,-110.0,-110.0,150.0,110.0,40.0
FOI,11040080,damir,0.0,0.0,2.0,1.0,1.0
8.11.1.10,11430610,levi,182.025,182.025,4.8,4.76,0.040000000000000036
10.09.3.20,11160601,levi,2.0,0.0,4.0,3.0,1.0
5.10.1.20,11010082,davidm,124.0,124.0,1.0,0.0,1.0
