PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,234,232,99.15%,20,20,545,541,,2498,2273,90.99%,168,168,12049,12051
Airlie Run,113,108,95.58%,16,16,410,387,,2498,2273,90.99%,168,168,12049,12051
Cannonvale,56,54,96.43%,9,9,175,173,,2498,2273,90.99%,168,168,12049,12051
Collinsville,90,87,96.67%,14,14,219,212,,2498,2273,90.99%,168,168,12049,12051
Daydream,8,4,50.00%,4,4,50,48,,2498,2273,90.99%,168,168,12049,12051
Dingo Run,50,50,100.00%,7,7,193,196,,2498,2273,90.99%,168,168,12049,12051
Hamilton Island,768,609,79.30%,33,33,3155,3064,,2498,2273,90.99%,168,168,12049,12051
Hamilton Island Warehouse,19,14,73.68%,1,1,791,770,,2498,2273,90.99%,168,168,12049,12051
Hayman Comms,3,1,33.33%,3,3,30,30,,2498,2273,90.99%,168,168,12049,12051
Hayman Diner,530,504,95.09%,2,2,4725,4890,,2498,2273,90.99%,168,168,12049,12051
Hayman Island,8,6,75.00%,1,1,20,20,,2498,2273,90.99%,168,168,12049,12051
Mackay,260,254,97.69%,26,26,749,748,,2498,2273,90.99%,168,168,12049,12051
Pallet Run 1,116,115,99.14%,8,8,455,445,,2498,2273,90.99%,168,168,12049,12051
Pallet Run 2,84,83,98.81%,4,4,225,218,,2498,2273,90.99%,168,168,12049,12051
pick Up Window 1,79,74,93.67%,9,9,168,167,,2498,2273,90.99%,168,168,12049,12051
Pick Up Window 2,25,24,96.00%,8,8,37,37,,2498,2273,90.99%,168,168,12049,12051
Shute,55,54,98.18%,3,3,104,105,,2498,2273,90.99%,168,168,12049,12051
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,593,567,95.62%,110,110,3887,4006,,2498,2273,90.99%,388,388,12049,12051
Dry,983,951,96.74%,120,120,3521,3443,,2498,2273,90.99%,388,388,12049,12051
Freezer,663,645,97.29%,112,112,4373,4337,,2498,2273,90.99%,388,388,12049,12051
Shed,112,110,98.21%,46,46,268,266,,2498,2273,90.99%,388,388,12049,12051
,147,0,0.00%,39,0,0,0,,2498,2273,90.99%,388,388,12049,12051
