user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,6:52 AM,187,2:48 PM,233.3,91.6,55.5,21.8,3.12,173,727,12,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
davidm,10:15 PM,278,5:04 AM,159.3,108.3,50.5,34.4,4.63,234,738,16,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
gregory,10:16 PM,315,5:03 AM,126.1,97.6,37,28.6,5.25,194,662,13,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
justin,7:55 PM,111,10:07 PM,104.9,88.8,35.1,29.8,1.85,65,194,4,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
kane,6:58 AM,104,2:38 PM,281.5,63.7,41.5,9.4,1.73,72,488,5,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
lachlyn,8:10 AM,198,3:59 PM,277.6,117.2,49.7,21,3.3,164,916,11,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
levi,10:17 PM,225,4:21 AM,169.9,105.2,41.9,25.9,3.75,157,637,11,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
mick,4:48 AM,17,5:18 AM,141.2,77.8,35.3,19.4,0.28,10,40,1,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
tim,10:21 PM,266,5:04 AM,153.4,101.2,35.2,23.2,4.43,156,680,11,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
Troy,8:27 AM,245,3:36 PM,195.9,111.8,58.8,33.5,4.08,240,800,16,1946,1843.1,963.2,440.5,247,32.42,1465,5882,100
