user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:18 PM,213,5:55 AM,220.3,102.7,78.3,36.5,3.55,278,782,18,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
damir,7:42 AM,263,3:40 PM,206.7,113.8,48.6,26.8,4.38,213,906,14,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
gregory,10:13 PM,348,5:43 AM,140.7,108.9,46,35.6,5.8,267,816,17,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
jackr,7:41 AM,34,8:15 AM,199.4,198.9,77.6,77.5,0.57,44,113,3,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
jesset,10:21 PM,6213,5:54 AM,0.8,0.8,0.1,0.1,103.55,13,80,1,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
kane,7:03 AM,186,2:22 PM,268.4,113.8,67.7,28.7,3.1,210,832,14,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
lachlyn,6:55 AM,142,1:33 PM,166.9,59.6,39.3,14,2.37,93,395,6,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
levi,10:11 PM,318,5:52 AM,200.8,138.5,54.7,37.8,5.3,290,1064,19,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
logan,4:14 AM,673,4:50 AM,4.5,2,1.1,0.5,11.22,12,50,1,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
mick,6:49 AM,108,4:39 AM,203.9,16.8,65.6,5.4,1.8,118,367,8,8498,1612.4,855.8,479,262.9,141.64,1538,5405,100
