user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:12 PM,131,3:52 AM,253.3,97.4,74.7,28.7,2.18,163,553,10,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
damir,8:25 AM,203,2:47 PM,224.9,119.5,46.7,24.8,3.38,158,761,10,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
davidm,10:14 PM,217,3:39 AM,152.1,101.6,55.6,37.1,3.62,201,550,13,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
gregory,10:13 PM,407,5:16 AM,92.0,88.5,33.5,32.2,6.78,227,624,14,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
justin,6:19 PM,256,1:56 AM,305.6,171.2,38.7,21.7,4.27,165,1304,10,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
kane,7:00 AM,165,2:26 PM,197.8,73.2,39.6,14.7,2.75,109,544,7,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
lachlyn,8:37 AM,195,3:41 PM,232.6,106.9,58.2,26.7,3.25,189,756,12,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
levi,10:20 PM,188,3:08 AM,141.4,92.1,29.7,19.3,3.13,93,443,6,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
MeaganH,12:32 PM,8616,12:08 PM,0.1,0.1,0.0,0.0,143.60,3,8,0,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
spiro,12:20 AM,143,6:25 AM,118.7,46.5,29.8,11.7,2.38,71,283,4,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100
steve,8:07 PM,296,3:41 AM,174.7,113.9,45.8,29.9,4.93,226,862,14,10817,1893.2,1010.9,452.3,246.8,180.27,1605,6688,100

