user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:30 AM,101,3:26 PM,222.8,54.1,51.1,12.4,1.68,86,375,7,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
davidm,10:10 PM,186,3:34 AM,179,102.6,49.7,28.5,3.1,154,555,12,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
gregory,10:11 PM,287,4:35 AM,102.4,76.6,43.5,32.5,4.78,208,490,16,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
justin,6:44 PM,304,1:39 AM,151,110.5,41.3,30.2,5.07,209,765,16,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
kane,7:13 AM,140,2:30 PM,487.3,155.9,39,12.5,2.33,91,1137,7,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
levi,10:11 PM,265,4:04 AM,147.2,110.4,39.4,29.5,4.42,174,650,13,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
steve,8:17 PM,258,3:01 AM,145.1,92.7,50.7,32.4,4.3,218,624,17,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
tim,2:37 AM,67,3:44 AM,117.3,117.3,36.7,36.7,1.12,41,131,3,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
Troy,8:27 AM,160,3:42 PM,304.1,111.7,49.1,18,2.67,131,811,10,1768,1856.2,931.8,400.5,232.7,29.47,1312,5538,100
