user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:07 AM,246,6:34 AM,233.2,42.6,53.9,9.8,4.1,221,956,14,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
gregory,10:13 PM,328,5:35 AM,158.2,117.3,53.6,39.7,5.47,293,865,18,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
hincho,10:33 AM,21,10:54 AM,191.4,189,20,19.7,0.35,7,67,0,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
jackr,5:08 AM,22,5:37 AM,141.8,109.9,65.5,50.7,0.37,24,52,1,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
jessek,7:35 AM,47,5:34 AM,132.8,4.7,51.1,1.8,0.78,40,104,2,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
kane,7:05 AM,113,10:51 AM,1152.2,576.9,31.3,15.7,1.88,59,2170,4,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
levi,10:22 PM,302,5:43 AM,152.6,104.4,50.5,34.5,5.03,254,768,16,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
mick,10:14 PM,76,12:15 AM,224.2,141.7,71.8,45.4,1.27,91,284,6,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
owenl,10:21 AM,53,12:41 PM,287.5,108.6,36.2,13.7,0.88,32,254,2,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
sam,7:29 AM,29,5:18 AM,128.3,2.8,64.1,1.4,0.48,31,62,2,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
simonb,7:30 AM,112,9:31 AM,200.9,185.5,43.9,40.6,1.87,82,375,5,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
spiro,7:38 AM,143,5:16 AM,122.9,13.5,43.2,4.8,2.38,103,293,6,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
tim,10:20 PM,314,5:15 AM,92.7,70,39.9,30.2,5.23,209,485,13,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
Troy,8:16 AM,246,3:52 PM,167.8,90.5,40.2,21.7,4.1,165,688,10,2052,3386.5,1757.4,665.2,329.7,34.19,1611,7423,100
