user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:09 AM,209,6:23 PM,452.2,153.9,60.9,20.7,3.48,212,1575,13,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
davidm,10:05 PM,311,5:26 AM,109.6,77.3,42.8,30.2,5.18,222,568,13,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
gregory,9:41 PM,357,5:56 AM,113.6,82,37.3,26.9,5.95,222,676,13,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
jackr,10:13 AM,97,6:50 AM,214.6,16.8,58.1,4.6,1.62,94,347,6,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
jessek,5:16 AM,81,6:54 AM,223.7,185.7,63,52.3,1.35,85,302,5,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
justin,6:40 PM,130,9:47 PM,149.5,104.2,35.5,24.8,2.17,77,324,5,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
kane,8:42 AM,94,12:03 PM,178.7,83.3,67.7,31.5,1.57,106,280,6,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
levi,8:19 PM,366,3:47 AM,153,125,46.6,38.1,6.1,284,933,17,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
owenl,11:08 AM,28,11:36 AM,518.6,503,36.4,35.3,0.47,17,242,1,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
sam,6:28 AM,0,6:29 AM,0,0,0,0,0,0,0,0,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
simonb,10:33 AM,32,11:10 AM,309.4,269.1,45,39.1,0.53,24,165,1,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
spiro,10:00 AM,168,5:47 AM,141.8,20.1,37.9,5.4,2.8,106,397,6,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
tim,10:13 PM,356,5:53 AM,114.4,88.6,40.1,31.1,5.93,238,679,14,2229,2679.1,1709,571.3,340,37.15,1687,6488,100
