user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:19 AM,200,2:41 PM,213.3,111.7,53.4,28,3.33,178,711,12,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
davidm,10:13 PM,247,4:28 AM,96.7,63.6,32.3,21.3,4.12,133,398,9,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
gregory,10:23 PM,315,4:25 AM,109.3,95.1,32.2,28,5.25,169,574,11,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
justin,6:48 PM,309,1:33 AM,95.1,72.6,35,26.7,5.15,180,490,12,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
kane,6:59 AM,177,2:07 PM,178,73.6,55.6,23,2.95,164,525,11,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
lachlyn,9:04 AM,96,11:25 AM,348.1,236.9,58.8,40,1.6,94,557,6,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
levi,10:08 PM,102,3:37 AM,140.6,43.6,51.2,15.9,1.7,87,239,6,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
logan,6:21 AM,7,6:28 AM,17.1,17.4,17.1,17.4,0.12,2,2,0,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
mick,11:45 PM,9029,6:14 AM,1.1,1.1,0.3,0.3,150.48,51,171,3,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
spiro,1:26 AM,75,2:48 AM,64.8,59.7,25.6,23.6,1.25,32,81,2,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
steve,8:13 PM,249,3:06 AM,160.2,96.5,51.6,31.1,4.15,214,665,14,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
Troy,8:14 AM,267,3:41 PM,238.4,142.4,54.2,32.3,4.45,241,1061,16,11073,1662.7,1014.2,467.3,287.6,184.55,1545,5474,100
