PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,317,311,98.11%,32,32,935,879,,2882,2667,92.54%,213,213,10301,10060
Airlie Run,157,147,93.63%,22,22,506,491,,2882,2667,92.54%,213,213,10301,10060
Bowen,123,118,95.93%,19,19,475,420,,2882,2667,92.54%,213,213,10301,10060
Cannonvale,132,129,97.73%,15,15,497,466,,2882,2667,92.54%,213,213,10301,10060
Hamilton Island,848,692,81.60%,29,29,3945,3894,,2882,2667,92.54%,213,213,10301,10060
Mackay,340,331,97.35%,27,27,964,957,,2882,2667,92.54%,213,213,10301,10060
North Mackay,166,163,98.19%,17,17,406,413,,2882,2667,92.54%,213,213,10301,10060
Pallet Run 1,204,197,96.57%,12,12,869,854,,2882,2667,92.54%,213,213,10301,10060
Pallet Run 2,155,152,98.06%,9,9,565,575,,2882,2667,92.54%,213,213,10301,10060
Pallet Run 3,207,203,98.07%,10,10,566,548,,2882,2667,92.54%,213,213,10301,10060
pick Up Window 1,90,82,91.11%,10,10,178,176,,2882,2667,92.54%,213,213,10301,10060
Proserpine Run,143,142,99.30%,11,11,396,389,,2882,2667,92.54%,213,213,10301,10060
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,678,662,97.64%,149,149,3273,3243,,2882,2667,92.54%,522,522,10301,10060
Dry,1226,1189,96.98%,156,156,3846,3710,,2882,2667,92.54%,522,522,10301,10060
Freezer,674,661,98.07%,152,152,2857,2787,,2882,2667,92.54%,522,522,10301,10060
Shed,157,155,98.73%,65,65,325,320,,2882,2667,92.54%,522,522,10301,10060
,147,0,0.00%,38,0,0,0,,2882,2667,92.54%,522,522,10301,10060
