user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:08 PM,255,5:56 AM,222.8,121.6,58.8,32.1,4.25,250,947,12,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
damir,8:15 AM,138,11:30 AM,173.5,123.0,56.5,40.1,2.30,130,399,6,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
davidm,10:07 PM,230,5:30 AM,201.9,105.0,49.6,25.8,3.83,190,774,9,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
gregory,10:11 PM,263,3:19 AM,113.8,97.2,37.9,32.3,4.38,166,499,8,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
jackr,4:36 PM,0,4:36 PM,0.0,4050.0,0.0,900.0,0.00,2,9,0,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
justin,6:01 PM,366,2:53 AM,142.3,98.0,39.0,26.9,6.10,238,868,11,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
kane,8:12 AM,119,2:41 PM,1005.9,307.6,55.0,16.8,1.98,109,1995,5,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
levi,9:08 PM,329,6:01 AM,181.8,112.3,35.6,22.0,5.48,195,997,9,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
owenl,8:10 AM,148,12:27 PM,231.9,133.1,19.5,11.2,2.47,48,572,2,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
richie,5:10 PM,18730,5:20 PM,0.3,0.3,0.1,0.1,312.17,39,105,2,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
sam,6:20 AM,26,6:46 AM,62.3,63.3,18.5,18.8,0.43,8,27,0,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
spiro,12:16 AM,167,3:44 AM,199.0,159.9,44.6,35.8,2.78,124,554,6,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
steve,8:09 PM,315,3:41 AM,201.3,140.3,47.6,33.2,5.25,250,1057,12,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
tim,10:36 PM,216,4:30 AM,126.9,77.6,40.6,24.8,3.60,146,457,7,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100
Troy,8:06 AM,217,4:12 PM,432.2,193.0,51.4,23.0,3.62,186,1563,9,21519,3295.9,5782.2,554.7,1242.9,358.64,2081,10823,100

