user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:37 PM,7,10:49 PM,197.1,110.3,77.1,43.1,0.12,9,23,1,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
damir,8:03 AM,268,2:37 PM,276.9,188.4,44.3,30.2,4.47,198,1237,16,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
davidm,10:15 PM,183,4:05 AM,169.5,88.6,43.6,22.8,3.05,133,517,11,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
gregory,10:12 PM,262,3:37 AM,116.3,93.8,27.7,22.3,4.37,121,508,10,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
justin,6:18 PM,278,1:18 AM,110.5,73.0,37.3,24.7,4.63,173,512,14,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
kane,8:10 AM,101,1:32 PM,509.1,159.9,25.0,7.8,1.68,42,857,3,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
levi,10:06 PM,220,2:51 AM,123.0,95.1,30.0,23.2,3.67,110,451,9,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
logan,12:21 AM,0,12:21 AM,0.0,0.0,0.0,0.0,0.00,1,1,0,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
spiro,12:09 AM,125,2:47 AM,148.8,117.7,31.7,25.1,2.08,66,310,5,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
steve,8:10 PM,234,2:52 AM,248.2,144.5,41.0,23.9,3.90,160,968,13,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100
Troy,8:06 AM,274,3:53 PM,274.8,161.3,53.6,31.5,4.57,245,1255,19,1952,2174.2,1232.6,411.3,254.6,32.54,1258,6639,100

