PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,108,104,96.30%,22,22,583,564,,3559,3157,88.70%,211,211,18569,17741
Airlie Run,137,129,94.16%,14,14,442,415,,3559,3157,88.70%,211,211,18569,17741
Cannonvale,64,64,100.00%,14,14,179,180,,3559,3157,88.70%,211,211,18569,17741
Collinsville,191,186,97.38%,13,13,583,570,,3559,3157,88.70%,211,211,18569,17741
Daydream,171,148,86.55%,6,6,1229,1180,,3559,3157,88.70%,211,211,18569,17741
Dingo Run,34,33,97.06%,3,3,107,106,,3559,3157,88.70%,211,211,18569,17741
Hamilton Island,731,553,75.65%,43,43,3148,2938,,3559,3157,88.70%,211,211,18569,17741
Hamilton Island Warehouse,30,25,83.33%,1,1,2022,2012,,3559,3157,88.70%,211,211,18569,17741
Hayman Comms,1091,965,88.45%,25,25,4631,4115,,3559,3157,88.70%,211,211,18569,17741
Hayman Diner,66,60,90.91%,2,2,2028,2082,,3559,3157,88.70%,211,211,18569,17741
Hayman Grove,19,17,89.47%,1,1,52,52,,3559,3157,88.70%,211,211,18569,17741
Hayman Retail,102,92,90.20%,3,3,765,763,,3559,3157,88.70%,211,211,18569,17741
Hayman Stores,37,26,70.27%,5,5,332,329,,3559,3157,88.70%,211,211,18569,17741
Mackay,250,246,98.40%,17,17,772,752,,3559,3157,88.70%,211,211,18569,17741
Pallet,18,17,94.44%,1,1,45,44,,3559,3157,88.70%,211,211,18569,17741
Pallet Run 1,66,66,100.00%,3,3,240,240,,3559,3157,88.70%,211,211,18569,17741
Pallet Run 2,155,149,96.13%,8,8,394,392,,3559,3157,88.70%,211,211,18569,17741
pick Up Window 1,104,98,94.23%,10,10,217,215,,3559,3157,88.70%,211,211,18569,17741
Pick Up Window 2,30,25,83.33%,11,11,113,112,,3559,3157,88.70%,211,211,18569,17741
Proserpine Run,119,119,100.00%,5,5,548,539,,3559,3157,88.70%,211,211,18569,17741
Shute,36,35,97.22%,4,4,139,140,,3559,3157,88.70%,211,211,18569,17741
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,804,775,96.39%,123,123,6346,6270,,3559,3157,88.70%,453,453,18569,17741
Dry,1716,1619,94.35%,153,153,7592,6901,,3559,3157,88.70%,453,453,18569,17741
Freezer,682,669,98.09%,131,131,4431,4379,,3559,3157,88.70%,453,453,18569,17741
Shed,97,94,96.91%,46,46,200,190,,3559,3157,88.70%,453,453,18569,17741
,260,0,0.00%,89,0,0,0,,3559,3157,88.70%,453,453,18569,17741
