user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,6:27 AM,197,11:28 AM,148,96.9,62.7,41.1,3.28,206,486,26,896,922.5,446.1,215.8,113,14.92,780,3274,100
kane,6:56 AM,116,2:47 PM,328.4,80.8,56.9,14,1.93,110,635,14,896,922.5,446.1,215.8,113,14.92,780,3274,100
lachlyn,6:45 AM,281,2:52 PM,264.3,152.3,58.1,33.5,4.68,272,1238,35,896,922.5,446.1,215.8,113,14.92,780,3274,100
Troy,8:17 AM,302,4:10 PM,181.8,116.1,38.1,24.4,5.03,192,915,25,896,922.5,446.1,215.8,113,14.92,780,3274,100
