user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
ben,10:13 PM,147,3:37 AM,303.7,138.0,88.2,40.1,2.45,216,744,15,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
davidm,10:11 PM,240,5:23 AM,146.0,81.2,54.5,30.3,4.00,218,584,15,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
gregory,10:08 PM,395,5:12 AM,121.1,112.7,35.1,32.7,6.58,231,797,16,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
justin,6:33 PM,333,2:07 AM,122.2,89.5,42.9,31.4,5.55,238,678,16,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
levi,10:08 PM,231,3:37 AM,151.2,106.0,42.9,30.1,3.85,165,582,11,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
spiro,12:23 AM,194,4:12 AM,189.3,160.5,34.6,29.4,3.23,112,612,8,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
steve,8:08 PM,313,3:39 AM,139.6,96.8,47.7,33.1,5.22,249,728,17,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100
tim,2:36 AM,46,3:35 AM,31.3,24.5,27.4,21.4,0.77,21,24,1,1899,1204.4,809.2,373.3,248.5,31.65,1450,4749,100

