PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,157,155,98.73%,14,14,476,467,,2170,1922,88.57%,160,160,8750,8421
Airlie Run,164,159,96.95%,21,21,588,576,,2170,1922,88.57%,160,160,8750,8421
Cannonvale,81,81,100.00%,14,14,308,312,,2170,1922,88.57%,160,160,8750,8421
Collinsville,103,101,98.06%,13,13,351,352,,2170,1922,88.57%,160,160,8750,8421
Dingo Run,45,45,100.00%,5,5,149,150,,2170,1922,88.57%,160,160,8750,8421
Hamilton Island,746,568,76.14%,38,38,3138,2977,,2170,1922,88.57%,160,160,8750,8421
Hayman Comms,75,70,93.33%,2,2,493,487,,2170,1922,88.57%,160,160,8750,8421
Hayman Diner,334,296,88.62%,3,3,1338,1298,,2170,1922,88.57%,160,160,8750,8421
Hayman Retail,9,7,77.78%,1,1,77,77,,2170,1922,88.57%,160,160,8750,8421
Hayman Stores,10,4,40.00%,3,3,44,44,,2170,1922,88.57%,160,160,8750,8421
Mackay,151,146,96.69%,21,21,473,471,,2170,1922,88.57%,160,160,8750,8421
Pallet,24,24,100.00%,1,1,87,87,,2170,1922,88.57%,160,160,8750,8421
Pallet Run 1,88,87,98.86%,5,5,497,399,,2170,1922,88.57%,160,160,8750,8421
Pallet Run 2,86,85,98.84%,8,8,523,519,,2170,1922,88.57%,160,160,8750,8421
pick Up Window 1,17,16,94.12%,5,5,22,22,,2170,1922,88.57%,160,160,8750,8421
Pick Up Window 2,10,9,90.00%,2,2,18,19,,2170,1922,88.57%,160,160,8750,8421
Shute,70,69,98.57%,4,4,168,164,,2170,1922,88.57%,160,160,8750,8421
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,456,443,97.15%,91,91,2603,2541,,2170,1922,88.57%,351,351,8750,8421
Dry,1051,996,94.77%,114,114,3883,3731,,2170,1922,88.57%,351,351,8750,8421
Freezer,410,398,97.07%,105,105,2037,1922,,2170,1922,88.57%,351,351,8750,8421
Shed,85,85,100.00%,41,41,227,227,,2170,1922,88.57%,351,351,8750,8421
,168,0,0.00%,45,0,0,0,,2170,1922,88.57%,351,351,8750,8421
