user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:17 AM,144,6:34 PM,150,35,45.4,10.6,2.4,109,360,19,10580,1030.7,494.9,295.9,139.9,176.34,562,2193,100
jackr,4:50 PM,13,5:17 PM,396.9,192.5,133.8,64.9,0.22,29,86,5,10580,1030.7,494.9,295.9,139.9,176.34,562,2193,100
kane,8:38 AM,217,2:37 PM,249.4,150.7,59.2,35.8,3.62,214,902,38,10580,1030.7,494.9,295.9,139.9,176.34,562,2193,100
richie,5:10 PM,9990,3:40 PM,0,0,0,0,166.5,3,1,1,10580,1030.7,494.9,295.9,139.9,176.34,562,2193,100
Troy,8:26 AM,216,3:40 PM,234.4,116.7,57.5,28.6,3.6,207,844,37,10580,1030.7,494.9,295.9,139.9,176.34,562,2193,100
