user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Textbox9,Lines_Per_Hour2,Textbox4,Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Textbox25,Textbox27,Textbox10,Textbox34,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33
damir,8:04 AM,79,5:58 PM,405.6,53.9,55.4,7.4,1.32,73,534,4,2282,1836.7,932,450,253.1,38.05,1868,6548,100
davidm,8:11 PM,364,6:03 AM,159.2,97.8,61.6,37.9,6.07,374,966,20,2282,1836.7,932,450,253.1,38.05,1868,6548,100
gregory,8:24 PM,432,5:21 AM,118.9,95.6,40.3,32.4,7.2,290,856,16,2282,1836.7,932,450,253.1,38.05,1868,6548,100
justin,6:52 PM,312,1:53 AM,133.5,98.8,48.1,35.6,5.2,250,694,13,2282,1836.7,932,450,253.1,38.05,1868,6548,100
kane,7:04 AM,160,2:42 PM,265.5,92.8,66.4,23.2,2.67,177,708,9,2282,1836.7,932,450,253.1,38.05,1868,6548,100
levi,8:10 PM,397,5:59 AM,136.2,91.8,41.6,28,6.62,275,901,15,2282,1836.7,932,450,253.1,38.05,1868,6548,100
owenl,9:49 AM,111,12:37 PM,180,119.2,33,21.8,1.85,61,333,3,2282,1836.7,932,450,253.1,38.05,1868,6548,100
spiro,12:15 AM,174,4:12 AM,220.3,161.7,52.4,38.5,2.9,152,639,8,2282,1836.7,932,450,253.1,38.05,1868,6548,100
Troy,8:04 AM,253,3:41 PM,217.5,120.4,51.2,28.3,4.22,216,917,12,2282,1836.7,932,450,253.1,38.05,1868,6548,100
