user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking
Troy,155.44,31.2,4.332
damir,153.275,33.225,2.855
justin,89.22,27.839999999999996,5.614
kane,148.3,17.619999999999997,2.41
lachlyn,79.86666666666667,16.900000000000002,3.06
owenl,133.1,11.2,2.47
