user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
Troy,155.44,31.2,4.332,117.3,23.0,3.62,193.0,38.0,4.87
damir,153.275,33.225,2.855,105.0,21.7,1.98,196.7,40.9,4.47
justin,89.22,27.839999999999996,5.614,73.0,24.6,4.63,98.0,31.6,6.17
kane,148.3,17.619999999999997,2.41,59.8,7.8,1.68,307.6,22.1,3.67
lachlyn,79.86666666666667,16.900000000000002,3.06,58.4,15.1,2.23,119.7,20.3,4.55
owenl,133.1,11.2,2.47,133.1,11.2,2.47,133.1,11.2,2.47
