user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
davidm,84.82000000000001,29.6,4.164,63.6,21.3,3.1,102.6,37.9,6.07
gregory,91.44,33.46,5.598000000000001,73.0,28.0,4.28,116.9,43.0,7.2
levi,78.92,29.419999999999998,3.372,43.6,15.9,0.47,110.4,42.4,6.62
spiro,117.93333333333334,29.633333333333336,1.96,59.7,23.6,1.25,161.7,38.5,2.9
steve,104.6,31.825000000000003,4.2125,92.7,29.6,3.62,129.5,34.2,4.78
tim,112.5,33.95,2.975,107.7,31.2,1.12,117.3,36.7,4.83
