user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
ben,119.9,36.6,2.32,110.3,32.1,0.12,138.0,43.1,4.25
davidm,98.22,29.78,3.6759999999999997,81.2,22.8,3.05,129.3,35.7,4.1
gregory,112.0,30.24,5.343999999999999,93.8,22.3,4.37,135.7,37.4,6.67
levi,92.14,22.080000000000002,3.7620000000000005,16.8,5.6,0.63,130.5,30.1,5.48
spiro,143.575,33.475,2.4025,117.7,25.1,1.52,160.5,43.6,3.23
steve,121.44000000000001,28.9,4.62,96.8,23.9,3.55,144.5,33.2,5.25
tim,54.833333333333336,19.599999999999998,2.58,24.5,12.6,0.77,77.6,24.8,3.6
