user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
ben,130.63333333333333,43.13333333333333,4.203333333333333,102.7,36.5,3.55,165.4,47.7,4.83
davidm,96.06666666666666,35.13333333333333,3.4633333333333334,77.3,30.2,0.58,108.3,40.8,5.18
gregory,104.52000000000001,34.06,5.718,82.0,26.9,5.25,117.3,39.7,6.12
levi,124.58333333333333,35.583333333333336,5.205,104.4,25.9,3.75,145.5,41.4,6.92
steve,138.4,40.1,4.72,138.4,40.1,4.72,138.4,40.1,4.72
tim,85.1,28.85,5.2524999999999995,70.0,23.2,4.43,101.2,31.1,5.93
