user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
ben,88.9,31.549999999999997,3.005,80.4,28.7,2.18,97.4,34.4,3.83
davidm,107.725,32.425,4.1975,87.2,25.5,2.85,131.2,39.3,6.42
gregory,95.60000000000001,32.93333333333333,6.45,84.9,30.2,5.82,113.4,36.4,6.78
levi,84.825,20.5,3.6525,49.0,12.0,1.37,112.2,27.4,6.13
spiro,119.7,27.133333333333336,3.6999999999999997,46.5,11.7,2.38,165.1,37.6,4.72
steve,142.79999999999998,33.13333333333333,4.993333333333333,113.9,29.9,4.55,162.3,34.9,5.5
tim,79.75,23.0,4.465,48.9,18.8,4.3,110.6,27.2,4.63
