user_name,Avg Items/Hr,Avg Lines/Hr,Avg Hours Picking,Min Items/Hr,Min Lines/Hr,Min Hours Picking,Max Items/Hr,Max Lines/Hr,Max Hours Picking
Troy,60.6,14.95,3.08,38.0,14.9,2.98,83.2,15.0,3.18
damir,152.05,21.55,2.46,48.5,10.7,1.37,298.0,31.8,3.38
jessek,418.1,55.7,0.22,418.1,55.7,0.22,418.1,55.7,0.22
justin,122.4,27.549999999999997,4.605,99.6,21.7,3.23,171.2,32.4,5.8
kane,75.63333333333334,16.166666666666668,1.843333333333333,73.2,11.3,1.38,77.7,22.5,2.75
lachlyn,82.80000000000001,18.55,2.91,58.7,10.4,2.57,106.9,26.7,3.25
richie,92.94999999999999,38.3,0.95,5.2,15.5,0.2,180.7,61.1,1.7
