PICK_GROUP_NAME,Textbox75,Textbox78,Textbox26,psid,psid1,QTY_ORDERED,QTY_PICKED,Group_Pickers,Textbox76,Textbox79,Textbox27,Textbox64,Textbox82,Textbox60,Textbox61
2nd Run,46,43,93.48%,8,8,117,103,,2252,2109,93.65%,151,151,11175,10665
Airlie Run,257,250,97.28%,22,22,661,655,,2252,2109,93.65%,151,151,11175,10665
Bowen,68,62,91.18%,12,12,232,218,,2252,2109,93.65%,151,151,11175,10665
Cannonvale,154,151,98.05%,14,14,463,461,,2252,2109,93.65%,151,151,11175,10665
Daydream,365,337,92.33%,7,7,2456,2215,,2252,2109,93.65%,151,151,11175,10665
Hamilton Island,59,55,93.22%,3,3,244,222,,2252,2109,93.65%,151,151,11175,10665
Hamilton Island Warehouse,20,15,75.00%,1,1,1539,1509,,2252,2109,93.65%,151,151,11175,10665
Hayman Comms,283,226,79.86%,12,12,1800,1682,,2252,2109,93.65%,151,151,11175,10665
Hayman Retail,56,54,96.43%,1,1,563,563,,2252,2109,93.65%,151,151,11175,10665
Hayman Stores,43,39,90.70%,2,2,276,276,,2252,2109,93.65%,151,151,11175,10665
Mackay,477,465,97.48%,34,34,1274,1255,,2252,2109,93.65%,151,151,11175,10665
Pallet Run 1,148,145,97.97%,10,10,640,607,,2252,2109,93.65%,151,151,11175,10665
Pallet Run 2,126,124,98.41%,8,8,500,502,,2252,2109,93.65%,151,151,11175,10665
Pallet Run 3,64,63,98.44%,3,3,232,222,,2252,2109,93.65%,151,151,11175,10665
pick Up Window 1,6,3,50.00%,3,3,7,7,,2252,2109,93.65%,151,151,11175,10665
Pick Up Window 2,12,9,75.00%,7,7,21,18,,2252,2109,93.65%,151,151,11175,10665
Proserpine Run,68,68,100.00%,4,4,151,150,,2252,2109,93.65%,151,151,11175,10665
,,,,,,,,,,,,,,,
PICK_GROUP_NAME2,Textbox85,Textbox86,Textbox21,psid2,Textbox106,QTY_ORDERED2,QTY_PICKED2,Zone_Pickers,Textbox87,Textbox88,Textbox24,Textbox65,Textbox107,Textbox66,Textbox67
Chiller,484,455,94.01%,95,95,3447,3377,,2252,2109,93.65%,343,343,11175,10665
Dry,1083,1038,95.84%,116,116,4317,4005,,2252,2109,93.65%,343,343,11175,10665
Freezer,541,528,97.60%,97,97,3048,2942,,2252,2109,93.65%,343,343,11175,10665
Shed,91,88,96.70%,35,35,363,341,,2252,2109,93.65%,343,343,11175,10665
,53,0,0.00%,23,0,0,0,,2252,2109,93.65%,343,343,11175,10665
